RAW_METAR,STATION,DATETIME,WIND_DIR,WIND_SPEED,WIND_GUST,VISIBILITY,CLOUDS,TEMPERATURE,DEWPOINT,PRESSURE_QNH,WX1_INT,WX1_DESC,WX1_PHEN,WX2_INT,WX2_DESC,WX2_PHEN,WX3_INT,WX3_DESC,WX3_PHEN
202512010000 METAR VEPT 010000Z 00000KT 1600 BR FEW018 SCT100 15/14 Q1014 NOSIG=,VEPT,01-12-2025 00:00,000,00,,1600 m,"FEW018, SCT100",15,14,1014,,,BR,,,,,,
202512010030 METAR VEPT 010030Z 27002KT 1600 BR FEW018 SCT100 14/13 Q1014 NOSIG=,VEPT,01-12-2025 00:30,270,02,,1600 m,"FEW018, SCT100",14,13,1014,,,BR,,,,,,
202512010100 METAR VEPT 010100Z 00000KT 1600 BR SCT018 BKN100 15/13 Q1015 BECMG 15 00 BR=,VEPT,01-12-2025 01:00,000,00,,1600 m,"SCT018, BKN100",15,13,1015,,,BR,,,BR,,,
202512010130 METAR VEPT 010130Z 27002KT 1600 BR SCT018 BKN100 16/13 Q1015 NOSIG=,VEPT,01-12-2025 01:30,270,02,,1600 m,"SCT018, BKN100",16,13,1015,,,BR,,,,,,
202512010200 METAR VEPT 010200Z 27004KT 1600 BR SCT020 BKN100 17/13 Q1016 NOSIG=,VEPT,01-12-2025 02:00,270,04,,1600 m,"SCT020, BKN100",17,13,1016,,,BR,,,,,,
202512010230 METAR VEPT 010230Z 26003KT 1800 BR FEW020 SCT100 18/14 Q1016 NOSIG=,VEPT,01-12-2025 02:30,260,03,,1800 m,"FEW020, SCT100",18,14,1016,,,BR,,,,,,
202512010300 METAR VEPT 010300Z 27004KT 1800 BR SCT100 19/14 Q1016 NOSIG=,VEPT,01-12-2025 03:00,270,04,,1800 m,SCT100,19,14,1016,,,BR,,,,,,
202512010330 METAR VEPT 010330Z 26005KT 2000 HZ SCT100 19/14 Q1016 NOSIG=,VEPT,01-12-2025 03:30,260,05,,2000 m,SCT100,19,14,1016,,,HZ,,,,,,
202512010400 METAR VEPT 010400Z 26004KT 2000 HZ FEW100 20/14 Q1016 NOSIG=,VEPT,01-12-2025 04:00,260,04,,2000 m,FEW100,20,14,1016,,,HZ,,,,,,
202512010430 METAR VEPT 010430Z 27004KT 2000 HZ FEW100 21/14 Q1016 NOSIG=,VEPT,01-12-2025 04:30,270,04,,2000 m,FEW100,21,14,1016,,,HZ,,,,,,
202512010500 METAR VEPT 010500Z 25003KT 2000 HZ FEW100 22/14 Q1016 NOSIG=,VEPT,01-12-2025 05:00,250,03,,2000 m,FEW100,22,14,1016,,,HZ,,,,,,
202512010530 METAR VEPT 010530Z 25004KT 2200 HZ FEW100 23/14 Q1016 NOSIG=,VEPT,01-12-2025 05:30,250,04,,2200 m,FEW100,23,14,1016,,,HZ,,,,,,
202512010600 METAR VEPT 010600Z 26004KT 2500 HZ FEW100 24/13 Q1015 NOSIG=,VEPT,01-12-2025 06:00,260,04,,2500 m,FEW100,24,13,1015,,,HZ,,,,,,
202512010630 METAR VEPT 010630Z 26004KT 2800 HZ NSC 25/13 Q1015 BECMG 3000 HZ=,VEPT,01-12-2025 06:30,260,04,,2800 m,,25,13,1015,,,HZ,,,HZ,,,
202512010700 METAR VEPT 010700Z 26007KT 3000 HZ NSC 25/12 Q1014 NOSIG=,VEPT,01-12-2025 07:00,260,07,,3000 m,,25,12,1014,,,HZ,,,,,,
202512010730 METAR VEPT 010730Z 00000KT 3200 HZ NSC 26/11 Q1013 NOSIG=,VEPT,01-12-2025 07:30,000,00,,3200 m,,26,11,1013,,,HZ,,,,,,
202512010800 METAR VEPT 010800Z 26004KT 3500 HZ NSC 26/11 Q1013 NOSIG=,VEPT,01-12-2025 08:00,260,04,,3500 m,,26,11,1013,,,HZ,,,,,,
202512010830 METAR VEPT 010830Z 27004KT 4000 HZ NSC 26/11 Q1013 NOSIG=,VEPT,01-12-2025 08:30,270,04,,4000 m,,26,11,1013,,,HZ,,,,,,
202512010900 METAR VEPT 010900Z 27005KT 4500 HZ FEW100 26/10 Q1012 NOSIG=,VEPT,01-12-2025 09:00,270,05,,4500 m,FEW100,26,10,1012,,,HZ,,,,,,
202512010930 METAR VEPT 010930Z 27006KT 4500 HZ FEW100 26/10 Q1012 NOSIG=,VEPT,01-12-2025 09:30,270,06,,4500 m,FEW100,26,10,1012,,,HZ,,,,,,
202512011000 METAR VEPT 011000Z 28004KT 4500 HZ FEW100 26/10 Q1012 NOSIG=,VEPT,01-12-2025 10:00,280,04,,4500 m,FEW100,26,10,1012,,,HZ,,,,,,
202512011030 METAR VEPT 011030Z 29003KT 4000 HZ FEW100 25/10 Q1012 NOSIG=,VEPT,01-12-2025 10:30,290,03,,4000 m,FEW100,25,10,1012,,,HZ,,,,,,
202512011100 METAR VEPT 011100Z 00000KT 4000 HZ FEW100 25/10 Q1012 NOSIG=,VEPT,01-12-2025 11:00,000,00,,4000 m,FEW100,25,10,1012,,,HZ,,,,,,
202512011130 METAR VEPT 011130Z 00000KT 3500 HZ FEW100 24/13 Q1012 BECMG 3000 HZ=,VEPT,01-12-2025 11:30,000,00,,3500 m,FEW100,24,13,1012,,,HZ,,,HZ,,,
202512011200 METAR VEPT 011200Z 00000KT 3000 HZ NSC 21/15 Q1012 NOSIG=,VEPT,01-12-2025 12:00,000,00,,3000 m,,21,15,1012,,,HZ,,,,,,
202512011230 METAR VEPT 011230Z 00000KT 2800 HZ NSC 21/14 Q1012 NOSIG=,VEPT,01-12-2025 12:30,000,00,,2800 m,,21,14,1012,,,HZ,,,,,,
202512011300 METAR VEPT 011300Z 00000KT 2800 HZ NSC 20/14 Q1013 NOSIG=,VEPT,01-12-2025 13:00,000,00,,2800 m,,20,14,1013,,,HZ,,,,,,
202512011330 METAR VEPT 011330Z 00000KT 2500 HZ NSC 20/14 Q1013 NOSIG=,VEPT,01-12-2025 13:30,000,00,,2500 m,,20,14,1013,,,HZ,,,,,,
202512011400 METAR VEPT 011400Z 00000KT 2500 HZ NSC 19/14 Q1014 NOSIG=,VEPT,01-12-2025 14:00,000,00,,2500 m,,19,14,1014,,,HZ,,,,,,
202512011430 METAR VEPT 011430Z 00000KT 2500 HZ NSC 19/14 Q1014 NOSIG=,VEPT,01-12-2025 14:30,000,00,,2500 m,,19,14,1014,,,HZ,,,,,,
202512011500 METAR VEPT 011500Z 00000KT 2500 HZ NSC 18/13 Q1014 NOSIG=,VEPT,01-12-2025 15:00,000,00,,2500 m,,18,13,1014,,,HZ,,,,,,
202512011530 METAR VEPT 011530Z 00000KT 2500 HZ NSC 18/12 Q1014 NOSIG=,VEPT,01-12-2025 15:30,000,00,,2500 m,,18,12,1014,,,HZ,,,,,,
202512011600 METAR VEPT 011600Z 00000KT 2500 HZ NSC 18/12 Q1014 NOSIG=,VEPT,01-12-2025 16:00,000,00,,2500 m,,18,12,1014,,,HZ,,,,,,
202512011630 METAR VEPT 011630Z 00000KT 2200 HZ NSC 18/12 Q1014 NOSIG=,VEPT,01-12-2025 16:30,000,00,,2200 m,,18,12,1014,,,HZ,,,,,,
202512011700 METAR VEPT 011700Z 00000KT 2200 HZ NSC 18/12 Q1014 NOSIG=,VEPT,01-12-2025 17:00,000,00,,2200 m,,18,12,1014,,,HZ,,,,,,
202512011730 METAR VEPT 011730Z 00000KT 2200 BR NSC 18/13 Q1014 NOSIG=,VEPT,01-12-2025 17:30,000,00,,2200 m,,18,13,1014,,,BR,,,,,,
202512011800 METAR VEPT 011800Z 00000KT 2000 BR NSC 17/12 Q1014 NOSIG=,VEPT,01-12-2025 18:00,000,00,,2000 m,,17,12,1014,,,BR,,,,,,
202512011830 METAR VEPT 011830Z 00000KT 2000 BR NSC 16/12 Q1014 NOSIG=,VEPT,01-12-2025 18:30,000,00,,2000 m,,16,12,1014,,,BR,,,,,,
